canonical_key,title,decision,reason_code,reason,screen_rule_ids_json,mapped_claim_ids_json,decision_basis,final_for_stage1_screen
doi:10.1007/s40820-023-01099-1,Tailoring Food Biopolymers into Biogels for Regenerative Wound Healing and Versatile Skin Bioelectronics.,EXCLUDE_OFF_TOPIC,NON_SKIN_AGRICULTURE_OR_FOOD,Food-biopolymer wound-healing material study does not address skin spectral measurement or information loss.,"[""NON_SKIN_AGRICULTURE_OR_FOOD""]","[""TC-NOV-001"",""TC-NOV-002""]",title_and_scope_adjudication,True
doi:10.1109/icpr48806.2021.9412849,On Identification and Retrieval of Near-Duplicate Biological Images: a New Dataset and Protocol,EXCLUDE_OFF_TOPIC,GENERIC_DUPLICATE_DETECTION,"Generic near-duplicate biological-image retrieval does not evaluate dermatology dataset quality, identity leakage, or the governed cross-domain TrueColor evidence chain.",[],"[""TC-NOV-004"",""TC-NOV-006""]",claim_cohort_scope_correction,True
doi:10.1109/qomex.2013.6603227,California-ND: An annotated dataset for near-duplicate detection in personal photo collections,EXCLUDE_OFF_TOPIC,GENERIC_DATA_OR_ANNOTATION_METHOD,Near-duplicate detection benchmark for personal photo collections does not adjudicate dermatology data quality or a TrueColor novelty claim.,"[""GENERIC_DATA_OR_ANNOTATION_METHOD""]","[""TC-NOV-004"",""TC-NOV-006""]",title_and_scope_adjudication,True
doi:10.1609/aaai.v38i14.29525,FedA3I: Annotation Quality-Aware Aggregation for Federated Medical Image Segmentation against Heterogeneous Annotation Noise,EXCLUDE_OFF_TOPIC,GENERIC_DATA_OR_ANNOTATION_METHOD,Generic federated segmentation under annotation noise does not evaluate dermatology dataset quality or the physics–contrast–data-quality decomposition.,"[""GENERIC_DATA_OR_ANNOTATION_METHOD""]","[""TC-NOV-004"",""TC-NOV-006""]",title_and_scope_adjudication,True
doi:10.20965/jaciii.2026.p0156,Low Illumination Image Enhancement Method Based on White Balance Correction for Conveying Foreign Objects Detection,EXCLUDE_OFF_TOPIC,GENERIC_IMAGE_ENHANCEMENT,Low-illumination enhancement for foreign-object detection does not adjudicate skin capture variability or the TrueColor capture-control boundary.,[],"[""TC-NOV-003"",""TC-NOV-006""]",claim_cohort_scope_correction,True
doi:10.5220/0014632400004084,SynShapes: A Synthetic Image-Annotation Dataset for Edge Detection,EXCLUDE_OFF_TOPIC,GENERIC_SYNTHETIC_EDGE_DATASET,"Synthetic edge-detection image and annotation data do not address dermatology, skin-tone fairness, measurement physics, clinical validation, or the TrueColor cross-domain evidence chain.",[],"[""TC-NOV-004"",""TC-NOV-006""]",final_claim_cohort_scope_correction,True
doi:10.7759/cureus.105167,"Artificial Intelligence and Machine Learning in Diagnostic Pathology: A Systematic Review of Applications, Challenges, and Clinical Implications.",EXCLUDE_OFF_TOPIC,NON_SKIN_RADIOLOGY_OR_PATHOLOGY,Generic diagnostic-pathology AI review does not adjudicate a TrueColor scientific novelty claim.,"[""NON_SKIN_RADIOLOGY_OR_PATHOLOGY""]","[""TC-NOV-004"",""TC-NOV-006""]",title_and_scope_adjudication,True
doi:10.1002/mp.15630,Cervical optical coherence tomography image classification based on contrastive self‐supervised texture learning,EXCLUDE_WRONG_MODALITY,NON_SKIN_RADIOLOGY_OR_PATHOLOGY,"Cervical OCT image classification does not study skin spectral measurement, camera observability, skin-tone-conditioned representation, or the governed clinical decomposition proposed by TrueColor.","[""NON_SKIN_RADIOLOGY_OR_PATHOLOGY""]","[""TC-NOV-004"",""TC-NOV-006""]",title_and_scope_adjudication,True
doi:10.1109/cac51589.2020.9326318,Multi-robot collaborative SLAM and scene reconstruction based on RGB-D camera,EXCLUDE_WRONG_MODALITY,RGBD_SCENE_OR_ROBOTICS,Multi-robot RGB-D SLAM is unrelated to skin spectral measurement or camera-metamerism analysis.,"[""RGBD_SCENE_OR_ROBOTICS""]","[""TC-NOV-002"",""TC-NOV-003""]",title_and_scope_adjudication,True
doi:10.1109/iccv.2013.348,A Flexible Scene Representation for 3D Reconstruction Using an RGB-D Camera,EXCLUDE_WRONG_MODALITY,RGBD_SCENE_OR_ROBOTICS,RGB-D scene representation is outside the TrueColor spectral and clinical evidence chain.,"[""RGBD_SCENE_OR_ROBOTICS""]","[""TC-NOV-002"",""TC-NOV-003""]",title_and_scope_adjudication,True
