# PAPER 11 — EVIDENCE SELECTION

Canonical key: doi:10.3390/curroncol30030241

Selection rule: explicit stable source ranges covering the study objective, palette construction, instrument measurement, protocol, statistical validity, results, interpretation, and limitations.
Reference-list content and keyword-only matches are excluded.

## ABSTRACT_OBJECTIVE_POPULATION_AND_RESULTS
Source range: L00009–L00018

L00009	Abstract Our goal is to determine whether our
L00010	objective 9-point Self-Assessment Skin Tone Palette (SASTP) is correlated with a colorimeter’s assessment of a melanin index, so that Hispanic and Black people can be included in skin cancer research where scales were developed for White populations.
L00011	Subjects were asked to self-identify their skin tones using the SASTP.
L00012	This study assessed the criterion validity of the SASTP by measuring a range of skin colors compared to a melanin index reported from a colorimeter for the upper-inner arm (non-sun-exposed skin color), and the outer forearm (sun-exposed).
L00013	Among 188 non-artificial tanners, 50% were White, 30% were Hispanic or White-Hispanic, and 20% were other racial categories.
L00014	Meanwhile, 70% were female (30% male) and 81% were age 18–29 (19% age 30+).
L00015	The mean melanin of the upper-inner arm decreased with lighter skin color and stronger tendency to burn.
L00016	The SASTP in comparison to melanin index values was correlated for both the upper-inner arm ( r = 0.81, p < 0.001) and the outer forearm ( r = 0.77, p < 0.001).
L00017	The SASTP provides a 9-point scale that can be considered as an alternative, less expensive method that is comparable to the
L00018	objective colorimeter melanin index, which may be useful in studies on skin cancer among White, non-White, and Hispanic peoples.

## PROBLEM_CONTEXT_AND_VALIDITY_OBJECTIVE
Source range: L00021–L00043

L00021	Introduction Skin cancer is an important public health issue [ 1 ].
L00022	The main risk factors are ultraviolet radiation and skin sensitivity to the sun.
L00023	Meta-analyses examining phenotypic factors or sun sensitivity and skin cancer (melanoma and basal cell skin cancer) indicated heterogeneity between reported relative risk estimates of the various studies [ 2 , 3 ].
L00024	This lack of consistent magnitude of odds ratios for risk of skin cancer and sun sensitivity may be attributed to differences in the definition or interpretation of sun sensitivity.
L00025	Other potential reasons for differences include age, sex, and other demographics among the different populations pooled worldwide.
L00026	Additionally, studies did not report the same categories, thus making pooling across different nominal scales difficult.
L00027	Major differences were seen when comparing the magnitude of the odds ratios for sun sensitivity factors and melanoma between Hispanic [ 4 ] and White people [ 2 ] especially for fair, medium, or dark skin color.
L00028	This may be real or due to differing interpretations of such a subjective scale by people of different racial and/or ethnic groups.
L00029	Skin cancer studies for White populations typically use self-assessment of sun sensitivity including 4-point scales of tendency to burn, 4-point scales of tanning ability, or combined Fitzpatrick self-assessed skin type to quantify sun sensitivity.
L00030	Dermatologists often use the expanded V and VI category Fitzpatrick skin-type to include people of color [ 5 ].
L00031	A self-assessment of tendency to burn and tan was developed for White populations, and is often used in skin cancer studies restricted to White people.
L00032	There is a moderate chance of misclassifying self-assessed exposures due to different interpretations of the wording of sun sensitivity measures between
L00033	participants or by the same participant at a later time [ 6 ].
L00034	Several reliability studies among White populations show a wide range of Kappa statistics ranging from 0.51–0.72 for tendency to burn, 0.59–0.76 for tanning ability, 0.53–0.79 for skin-type, and 0.69–0.78 for skin color [ 6 , 7 , 8 , 9 , 10 ].
L00035	Kappas are often labeled as very good or excellent above 0.8 and substantial or good above 0.6 to 0.8, fair or moderate for 0.4 to 0.6, but poor below 0.2 [ 11 , 12 , 13 , 14 ], so these
L00036	results represented a fair to good reliability among White populations.
L00037	Misclassification of sun sensitivity in questionnaires is largely due to misinterpretation of ambiguously worded descriptions of skin color and inconsistent wording between questionnaires [ 3 , 6 , 15 ].
L00038	Varying interpretations of wording and inconsistent reliability
L00039	results for self-assessing risk indicate the need for a more concrete method of describing skin color, such as a more diverse color palette that could be used to better self-assess skin characteristics and skin cancer risk.
L00040	Other skin color scales have been developed ranging from use of photography, 36 skin tones, or expanded scales only focused on Caucasian/White people.
L00041	The purpose of our study was to first expand traditional skin color measurements that only focus on non-Hispanic White people to a skin palette to include Hispanic and Black people, and to then assess its validity.
L00042	To do so, we first assessed face validity of the initial and revised palette to develop our Self-Assessment Skin Tone Palette (SASTP).
L00043	Secondly, for our main aim here, we used criterion validity, sometimes also referred to as inter-method reliability [ 16 , 17 ], to compare the SASTP to the melanin index obtained from a colorimeter across individuals of various racial/ethnic backgrounds.

## PALETTE_DEVELOPMENT_SITES_AND_COLORIMETER
Source range: L00047–L00080

L00047	The Self-Assessment Skin Tone Palette (SASTP) Development 2.1.1.
L00048	Drafted Palette, Face Validity including Cognitive Interviewing Revisions The SASTP was designed to incorporate skin tones with more variation than the Fitzpatrick skin type while being compact and easy for the participant to use.
L00049	Skin tones were initially chosen similarly to the various skin tone options used for products in the make-up industry for various ethnicities.
L00050	Then, such tones were created in Adobe Photoshop by varying the color to match.
L00051	The process began with 24-point skin tones.
L00052	Face validity, as a subset of content validity, was assessed by skin cancer experts examining the shades and number of skin tones present [ 16 ].
L00053	Next, cognitive interviewing of volunteers (staff/students/faculty at the College of Public Health born in the US, Mexico, and Africa) with different skin tones was conducted by asking if the skin palette shades were distinguishable enough from each other and fit the
L00054	participants’ skin tones [ 18 ].
L00055	This included volunteers originating from Nigeria and other parts of Africa, who suggested the darkest skin tone needed to be lighter.
L00056	Similarly, other volunteers who considered themselves to be Hispanic/Latinx provided similar input for their skin tones, as did fair
L00057	subjects who cannot tan.
L00058	From this, a 9-point scale was determined because the color options were discriminant while allowing for the swatches to be easily viewable on a single sheet of paper.
L00059	2.1.2.
L00060	SASTP Scale The scale was set up in a 3 × 3 pattern with rows down A, B, C and columns across 1, 2, 3, where A1 was the lightest color and C3 was the darkest ( Figure 1 ).
L00061	Participants had the ability to hold up the palette to compare to their forearm and inner arm during
L00062	data collection.
L00063	The final SASTP 9 skin tones were translated to melanin values of 19.4, 20.5, 25.0, 30.6, 37.6, 58.6, 72.0, 90.5, and 102.2.
L00064	Figure 1 This presents the Self-Assessment of Skin Tone Palette (SASTP) with 9 skin tone shades from lightest A1, A2, A3, B1 … to C3.
L00065	The outer forearm typically represents one of the more tanned areas on a person’s body, whereas the area of the upper-inner arm receives less sun exposure [ 19 ].
L00066	Thus, we chose the forearm to represent sun exposed skin color and the upper-inner arm to represent unexposed skin color.
L00067	These sites were used for both SASTP and colorimeter assessment.
L00068	2.2.
L00069	Colorimetry Colorimeters can measure melanin index and erythema index using spectrophotometry.
L00070	The investigators used the DSM II ColorMeter (Cortex Technology, Hadsund, Denmark) to take
L00071	objective measurements of the melanin index of
L00072	participants’ upper-inner arm and outer forearm.
L00073	The melanin index measures the tan level of the skin.
L00074	The erythema index measures the redness of the skin, but this can be affected by short-term changes in room temperature and blushing along with longer effects of a sunburn.
L00075	Our focus was skin color, so the erythema index was not pertinent.
L00076	The DSM II ColorMeter is a handheld colorimeter that is a reliable measure of melanin (M) index that uses tristimulus colorimetry and narrow-band spectrophotometry technology [ 20 , 21 ].
L00077	The colorimeter’s measurement of a melanin index is discriminative and sensitive when measuring normal skin colors for White people and Black people with day-to-day repeatability [ 20 ].
L00078	Spectrophotometers or colorimeters are handheld devices that are not affected by ambient lighting [ 22 ].
L00079	To verify that the DSM II was not affected by ambient lighting, we used the colorimeter to conduct an experiment measuring the colors in the color palette at the same locations with the same lighting as our main study.
L00080	We added an outdoor location and found the measurements within this reliability study of the colorimeter did not vary by location ( p = 0.99) [ 23 ].

## SURVEY_RECRUITMENT_ANALYSIS_AND_REPEAT_RELIABILITY
Source range: L00083–L00130

L00083	2.3.
L00084	Survey A short questionnaire consisting of 15 questions was administered.
L00085	The three questions about artificial tanning included using sunlamps, tanning beds, or sunbeds in the last year, in the last month, and average minutes of use.
L00086	Those using a tanning bed in the last month were excluded from analyses as such use could actually change the melanin index, which would reduce the true comparison of measures.
L00087	Sun sensitivity measures were also surveyed, including tendency to sunburn (on initial exposure to the sun in spring or summer), inability to tan (after repeated and prolonged exposure), skin color of the upper-inner arm (fair, medium or dark), skin color of the forearm in comparison
L00088	with the upper inner arm, eye color, natural hair color at age 20, and family history of skin cancer (yes, no, do not know).
L00089	The survey also asked about age (21–29, 30–39, 40–49, 50–59, 60+), sex, and race/ethnicity
L00090	background.
L00091	Racial/ethnic
L00092	background was asked as one question, and respondents were instructed to check all that apply (Hispanic, Native American or Alaska native, African American/Black, Asian or Pacific Islander, or White), but most only checked one category.
L00093	Thus, a White racial/ethnic
L00094	background reflects non-Hispanic White, as most who checked Hispanic did not check a racial category.
L00095	Skin color in two body sites based on the SASTP was included in the survey along with four questions to create a unique identification.
L00096	The self-perception of skin tone was ascertained for two body sites with a color palette in which
L00097	participants chose from nine skin tone choices which they believed to match their (1) upper-inner arm and (2) forearm.
L00098	The survey and measurement took about 5 min.
L00099	2.4.
L00100	Recruitment For recruitment, we contacted staff, and faculty via email and/or flyers.
L00101	Additionally, we setup a
L00102	data collection booth at the annual Melanoma Walk to create awareness of melanoma on campus and recruited students within an undergraduate statistics course, collecting their data either before or after class on several occasions.
L00103	The survey was administered from October–December in 2016 in Tucson, Arizona.
L00104	We consented
L00105	participants and collected data.
L00106	The
L00107	participants were allowed to withdraw at any time or refuse to answer any questions.
L00108	For
L00109	subjects who participated in the test–retest reliability, they were recontacted 3–5 weeks after their first in-person survey; some preferred to be recontacted via email and an online second survey.
L00110	Data were entered and stored on password-protected computers, and physical copies of the questionnaires were kept locked in an investigator’s office.
L00111	The consent form and study procedures were approved by the Institutional Review Board for human research.
L00112	2.5.
L00113	Analysis Analyses excluded
L00114	participants reporting use of tanning beds or artificial tanning sprays and creams in the prior month, as the artificial tan can influence the melanin index measurements.
L00115	These excluded
